,index,class,level,features
200,21,paladin,12,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
201,22,paladin,14,"Cleansing Touch
Beginning at 14th level, you can use your action to end one spell on yourself or on one willing creature that you touch.
You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain expended uses when you finish a long rest.
"
202,23,paladin,15,Sacred Oath Feature
203,24,paladin,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
204,25,paladin,16,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
205,26,paladin,18,All aura ranges increased to 30 feet
206,27,paladin,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
207,28,paladin,19,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
208,29,paladin,20,Sacred Oath Feature
209,0,ranger,0,"Hit Points
Hit Dice: 1d10 per ranger level
Hit Points at 1st Level: 10 + your Constitution modifier
Hit Points at Higher Levels: 1d10 (or 6) + your Constitution modifier per ranger level after 1st
"
210,1,ranger,0,"Proficiencies
Armor: Light armor, medium armor, shields
Weapons: Simple weapons, martial weapons
Tools: None
Saving Throws: Strength, Dexterity
Skills: Choose three from Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, and Survival
"
211,2,ranger,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) scale mail or (b) leather armor
(a) two shortswords or (b) two simple melee weapons
(a) a dungeoneer's pack or (b) an explorer's pack
A longbow and a quiver of 20 arrows

"
212,3,ranger,1,"Favored Enemy
Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy.
Choose a type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies.
You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them.
When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all.
You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.
"
213,4,ranger,1,"Natural Explorer
Also at 1st level, you are particularly familiar with one type of natural environment and are adept at traveling and surviving in such regions. Choose one type of favored terrain: arctic, coast, desert, forest, grassland, mountain, swamp, or the Underdark. When you make an Intelligence or Wisdom check related to your favored terrain, your proficiency bonus is doubled if you are using a skill that you’re proficient in.
While traveling for an hour or more in your favored terrain, you gain the following benefits:

Difficult terrain doesn’t slow your group’s travel.
Your group can’t become lost except by magical means.
Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger.
If you are traveling alone, you can move stealthily at a normal pace.
When you forage, you find twice as much food as you normally would.
While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area.

You choose additional favored terrain types at 6th and 10th level.
"
214,5,ranger,2,"Fighting Style
At 2nd level, you adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again.

Archery. You gain a +2 bonus to attack rolls you make with ranged weapons.


Blind Fighting. You have blind sight with a range of 10 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature within that range, unless the creature successfully hides from you.


Defense. While you are wearing armor, you gain a +1 bonus to AC.


Druidic Warrior. You learn two cantrips of your choice from the Druid spell list. They count as ranger spells for you, and Wisdom is your spellcasting ability for them. Whenever you gain a level in this class, you can replace one of these cantrips with another cantrip from the Druid spell list.


Dueling. When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.


Thrown Weapon Fighting. You can draw a weapon that has the thrown property as part of the attack you make with the weapon.

In addition, when you hit with a ranged attack using a thrown weapon, you gain a +2 bonus to the damage roll.




Two-Weapon Fighting. When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack.


"
215,6,ranger,2,"Spellcasting
By the time you reach 2nd level, you have learned to use the magical essence of nature to cast spells, much as a druid does.
Spell Slots
The Ranger table shows how many spell slots you have to cast your ranger spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
For example, if you know the 1st-level spell Animal Friendship and have a 1st-level and a 2nd-level spell slot available, you can cast Animal Friendship using either slot.
Spells Known of 1st Level and Higher
You know two 1st-level spells of your choice from the ranger spell list.
The Spells Known column of the Ranger table shows when you learn more ranger spells of your choice. Each of these spells must be of a level for which you have spell slots. For instance, when you reach 5th level in this class, you can learn one new spell of 1st or 2nd level.
Additionally, when you gain a level in this class, you can choose one of the ranger spells you know and replace it with another spell from the ranger spell list, which also must be of a level for which you have spell slots.
Spellcasting Ability
Wisdom is your spellcasting ability for your ranger spells, since your magic draws on your attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a ranger spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Wisdom modifier
Spell attack modifier = your proficiency bonus + your Wisdom modifier
"
216,7,ranger,3,"Primeval Awareness
Beginning at 3rd level, you can use your action and expend one ranger spell slot to focus your awareness on the region around you. For 1 minute per level of the spell slot you expend, you can sense whether the following types of creatures are present within 1 mile of you (or within up to 6 miles if you are in your favored terrain): aberrations, celestials, dragons, elementals, fey, fiends, and undead. This feature doesn’t reveal the creatures’ location or number.
"
217,8,ranger,3,"Ranger Conclave
At 3rd level, you choose to emulate the ideals and training of a ranger conclave. Your choice grants you features at 3rd level and again at 7th, 11th, and 15th level.


Conclave
Source


 Beast Master
Player's Handbook


 Fey Wanderer
Tasha's Cauldron of Everything


 Gloom Stalker
Xanathar's Guide to Everything


 Horizon Walker
Xanathar's Guide to Everything


 Hunter
Player's Handbook


 Monster Slayer
Xanathar's Guide to Everything


 Swarmkeeper
Tasha's Cauldron of Everything


Drakewarden
Fizban's Treasury of Dragons


Unearthed Arcana


Drakewarden (UA)
Unearthed Arcana 75 - Subclasses, Part 5


Archived Unearthed Arcana


Ranger, Revised
Unearthed Arcana 17 - The Ranger, Revised


Deep Stalker
Unearthed Arcana 10 - Light, Dark, Underdark!


Fey Wanderer
Unearthed Arcana 69 - Subclasses, Part 3


Monster Slayer
Unearthed Arcana 35 - A Trio of Subclasses


 Primeval Guardian
Unearthed Arcana 27 - Ranger & Rogue


 Swarmkeeper
Unearthed Arcana 64 - Fighter, Ranger, Rogue


"
218,9,ranger,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
219,10,ranger,4,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to rangers. This replacement represents a shift of focus in your martial practice.
"
220,11,ranger,5,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.
"
221,12,ranger,6,"Favored Enemy Improvement
You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.
"
222,13,ranger,6,"Natural Explorer Improvement
You choose additional favored terrain types at 6th and 10th level.
"
223,14,ranger,7,Ranger Conclave Feature
224,15,ranger,8,"Land's Stride
Starting at 8th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard.
In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such as those created by the Entangle spell.
"
225,16,ranger,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
226,17,ranger,8,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
227,18,ranger,10,"Natural Explorer Improvement
You choose additional favored terrain types at 6th and 10th level.
"
228,19,ranger,10,"Hide in Plain Sight
Starting at 10th level, you can spend 1 minute creating camouflage for yourself. You must have access to fresh mud, dirt, plants, soot, and other naturally occurring materials with which to create your camouflage.
Once you are camouflaged in this way, you can try to hide by pressing yourself up against a solid surface, such as a tree or wall, that is at least as tall and wide as you are. You gain a +10 bonus to Dexterity (Stealth) checks as long as you remain there without moving or taking actions. Once you move or take an action or a reaction, you must camouflage yourself again to gain this benefit.
"
229,20,ranger,11,Ranger Conclave Feature
230,21,ranger,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
231,22,ranger,12,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
232,23,ranger,14,"Favored Enemy Improvement
You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.
"
233,24,ranger,14,"Vanish
Starting at 14th level, you can use the Hide action as a bonus action on your turn. Also, you can't be tracked by nonmagical means, unless you choose to leave a trail.
"
234,25,ranger,15,Ranger Conclave Feature
235,26,ranger,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
236,27,ranger,16,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
237,28,ranger,18,"Feral Sense
At 18th level, you gain preternatural senses that help you fight creatures you can't see. When you attack a creature you can't see, your inability to see it doesn't impose disadvantage on your attack rolls against it.
You are also aware of the location of any invisible creature within 30 feet of you, provided that the creature isn't hidden from you and you aren't blinded or deafened.
"
238,29,ranger,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
239,30,ranger,19,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
240,31,ranger,20,"Foe Slayer
At 20th level, you become an unparalleled hunter of your enemies. Once on each of your turns, you can add your Wisdom modifier to the attack roll or the damage roll of an attack you make against one of your favored enemies. You can choose to use this feature before or after the roll, but before any effects of the roll are applied.
"
241,0,rogue,0,"Hit Points
Hit Dice: 1d8 per rogue level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per rogue level after 1st
"
242,1,rogue,0,"Proficiencies
Armor: Light armor
Weapons: Simple weapons, hand crossbows, longswords, rapiers, shortswords
Tools: Thieves' tools
Saving Throws: Dexterity, Intelligence
Skills: Choose four from Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, and Stealth
"
243,2,rogue,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a rapier or (b) a shortsword
(a) a shortbow and quiver of 20 arrows or (b) a shortsword
(a) a burglar's pack, (b) dungeoneer's pack, or (c) an explorer's pack
Leather armor, two daggers, and thieves' tools

"
244,3,rogue,1,"Expertise
At 1st level, choose two of your skill proficiencies, or one of your skill proficiencies and your proficiency with thieves' tools. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies.
At 6th level, you can choose two more of your proficiencies (in skills or with thieves' tools) to gain this benefit.
"
245,4,rogue,1,"Sneak Attack
Beginning at 1st level, you know how to strike subtly and exploit a foe's distraction. Once per turn, you can deal an extra 1d6 damage to one creature you hit with an attack if you have advantage on the attack roll. The attack must use a finesse or a ranged weapon.
You don't need advantage on the attack roll if another enemy of the target is within 5 feet of it, that enemy isn't incapacitated, and you don't have disadvantage on the attack roll.
The amount of the extra damage increases as you gain levels in this class, as shown in the Sneak Attack column of the Rogue table.
"
246,5,rogue,1,"Thieves' Cant
During your rogue training you learned thieves' cant, a secret mix of dialect, jargon, and code that allows you to hide messages in seemingly normal conversation. Only another creature that knows thieves' cant understands such messages. It takes four times longer to convey such a message than it does to speak the same idea plainly.
In addition, you understand a set of secret signs and symbols used to convey short, simple messages, such as whether an area is dangerous or the territory of a thieves' guild, whether loot is nearby, or whether the people in an area are easy marks or will provide a safe house for thieves on the run.
"
247,6,rogue,2,"Cunning Action
Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the Dash, Disengage, or Hide action.
"
248,7,rogue,3,"Roguish Archetype
At 3rd level, you choose an archetype that you emulate in the exercise of your rogue abilities. Your archetype choice grants you features at 3rd level and then again at 9th, 13th, and 17th level.


Archetype
Source


Arcane Trickster
Player's Handbook


 Assassin
Player's Handbook


 Inquisitive
Xanathar's Guide to Everything


 Mastermind
Xanathar's Guide to Everything


 Phantom
Tasha's Cauldron of Everything


 Scout
Xanathar's Guide to Everything


 Soulknife
Tasha's Cauldron of Everything


 Swashbuckler
Xanathar's Guide to Everything


 Thief
Player's Handbook


D&D Beyond Partnered Content


 Wild Card
Legends of Runeterra: Dark Tides of Bilgewater


Archived Unearthed Arcana


Phantom
Unearthed Arcana 72 - Subclasses Revisited


 Revived
Unearthed Arcana 64 - Fighter, Ranger, Rogue


 Soulknife (2019)
Unearthed Arcana 66 - Fighter, Rogue, Wizard


 Soulknife (2020)
Unearthed Arcana 71 - Psionic Options Revisited


"
249,8,rogue,3,"Steady Aim (Optional)
At 3rd level, as a bonus action, you give yourself advantage on your next attack roll on the current turn. You can use this bonus action only if you haven't moved during this turn, and after you use the bonus action, your speed is 0 until the end of the current turn.
"
250,9,rogue,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 10th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
251,10,rogue,5,"Uncanny Dodge
Starting at 5th level, when an attacker that you can see hits you with an attack, you can use your reaction to halve the attack's damage against you.
"
252,11,rogue,6,"Expertise Improvement
At 6th level, you can choose two more of your proficiencies (in skills or with thieves' tools) to gain this benefit.
"
253,12,rogue,7,"Evasion
Beginning at 7th level, you can nimbly dodge out of the way of certain area effects, such as a red dragon's fiery breath or an Ice Storm spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.
"
254,13,rogue,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
255,14,rogue,9,Roguish Archetype Feature
256,15,rogue,10,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
257,16,rogue,11,"Reliable Talent
By 11th level, you have refined your chosen skills until they approach perfection. Whenever you make an ability check that lets you add your proficiency bonus, you can treat a d20 roll of 9 or lower as a 10.
"
258,17,rogue,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
259,18,rogue,13,Roguish Archetype Feature
260,19,rogue,14,"Blindsense
Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you.
"
261,20,rogue,15,"Slippery Mind
By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws.
"
262,21,rogue,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
263,22,rogue,17,Roguish Archetype Feature
264,23,rogue,18,"Elusive
Beginning at 18th level, you are so evasive that attackers rarely gain the upper hand against you. No attack roll has advantage against you while you aren't incapacitated.
"
265,24,rogue,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
266,25,rogue,20,"Stroke of Luck
At 20th level, you have an uncanny knack for succeeding when you need to. If your attack misses a target within range, you can turn the miss into a hit. Alternatively, if you fail an ability check, you can treat the d20 roll as a 20.
Once you use this feature, you can't use it again until you finish a short or long rest.
"
267,0,sorcerer,0,"Hit Points
Hit Dice: 1d6 per sorcerer level
Hit Points at 1st Level: 6 + your Constitution modifier
Hit Points at Higher Levels: 1d6 (or 4) + your Constitution modifier per sorcerer level after 1st
"
268,1,sorcerer,0,"Proficiencies
Armor: None
Weapons: Daggers, darts, slings, quarterstaffs, light crossbows
Tools: None
Saving Throws: Constitution, Charisma
Skills: Choose two from Arcana, Deception, Insight, Intimidation, Persuasion, and Religion
"
269,2,sorcerer,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a light crossbow and 20 bolts or (b) any simple weapon
(a) a component pouch or (b) an arcane focus
(a) a dungeoneer's pack or (b) an explorer's pack
Two daggers

"
270,3,sorcerer,1,"Spellcasting
An event in your past, or in the life of a parent or ancestor, left an indelible mark on you, infusing you with arcane magic. This font of magic, whatever its origin, fuels your spells.
Cantrips
At 1st level, you know four cantrips of your choice from the sorcerer spell list. You learn additional sorcerer cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Sorcerer table.
Spell Slots
The Sorcerer table shows how many spell slots you have to cast your sorcerer spells of 1st level and higher. To cast one of these sorcerer spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
For example, if you know the 1st-level spell burning hands and have a 1st-level and a 2nd-level spell slot available, you can cast burning hands using either slot.
Spells Known of 1st Level and Higher
You know two 1st-level spells of your choice from the sorcerer spell list.
The Spells Known column of the Sorcerer table shows when you learn more sorcerer spells of your choice. Each of these spells must be of a level for which you have spell slots. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level.
Additionally, when you gain a level in this class, you can choose one of the sorcerer spells you know and replace it with another spell from the sorcerer spell list, which also must be of a level for which you have spell slots.
Spellcasting Ability
Charisma is your spellcasting ability for your sorcerer spells, since the power of your magic relies on your ability to project your will into the world. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a sorcerer spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Charisma modifier
Spell attack modifier = your proficiency bonus + your Charisma modifier
Spellcasting Focus
You can use an arcane focus as a spellcasting focus for your sorcerer spells.
"
271,4,sorcerer,1,"
Choose a sorcerous origin, which describes the source of your innate magical power. Your choice grants you features when you choose it at 1st level and again at 6th, 14th, and 18th level.


Origin
Source


Aberrant Mind
Tasha's Cauldron of Everything


Clockwork Soul
Tasha's Cauldron of Everything


Draconic Bloodline
Player's Handbook


Divine Soul
Xanathar's Guide to Everything


Lunar Sorcery
Dragonlance: Shadow of the Dragon Queen


Shadow Magic
Xanathar's Guide to Everything


Storm Sorcery
Sword Coast Adventurer's Guide
Xanathar's Guide to Everything


Wild Magic
Player's Handbook


The following subclass is designed for the Kaladesh setting, but may be used elsewhere with DM permission


Pyromancy
Plane Shift: Kaladesh


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Runechild
Tal'Dorei Campaign Guide


Unearthed Arcana


Lunar Magic
Unearthed Arcana 81 - Heroes of Krynn


Archived Unearthed Arcana


Aberrant Mind
Unearthed Arcana 61 - Sorcerer and Warlock


Clockwork Soul
Unearthed Arcana 68 - Subclasses, Part 2


Favored Soul (2015)
Unearthed Arcana 3 - Modifying Classes


Favored Soul (2017)
Unearthed Arcana 28 - Sorcerer


Giant Soul
Unearthed Arcana 50 - Giant Soul


Mage of Prismari
Unearthed Arcana 79 - Mages of Strixhaven


Mage of Quandrix
Unearthed Arcana 79 - Mages of Strixhaven


Phoenix Sorcery
Unearthed Arcana 28 - Sorcerer


Psionic Soul
Unearthed Arcana 71 - Psionic Options Revisited


Sea Sorcery
Unearthed Arcana 28 - Sorcerer


Shadow
Unearthed Arcana 10 - Light, Dark, Underdark!


Stone Sorcery
Unearthed Arcana 28 - Sorcerer


"
272,5,sorcerer,2,"Font of Magic
At 2nd level, you tap into a deep wellspring of magic within yourself. This wellspring is represented by sorcery points, which allow you to create a variety of magical effects.

Sorcery Points. You have 2 sorcery points, and you gain more as you reach higher levels, as shown in the Sorcery Points column of the Sorcerer table. You can never have more sorcery points than shown on the table for your level. You regain all spent sorcery points when you finish a long rest.


Flexible Casting. You can use your sorcery points to gain additional spell slots, or sacrifice spell slots to gain additional sorcery points. You learn other ways to use your sorcery points as you reach higher levels.

Creating Spell Slots. You can transform unexpended sorcery points into one spell slot as a bonus action on your turn. The Creating Spell Slots table shows the cost of creating a spell slot of a given level. You can create spell slots no higher in level than 5th. Any spell slot you create with this feature vanishes when you finish a long rest.
Converting a Spell Slot to Sorcery Points. As a bonus action on your turn, you can expend one spell slot and gain a number of sorcery points equal to the slot's level.





Creating Spell Slots


Spell Slot Level
Sorcery Point Cost


1st
2


2nd
3


3rd
5


4th
6


5th
7


"
273,6,sorcerer,3,"Metamagic
At 3rd level, you gain the ability to twist your spells to suit your needs. You gain two of the following Metamagic options of your choice. You gain another one at 10th and 17th level.
You can use only one Metamagic option on a spell when you cast it, unless otherwise noted.

Careful Spell. When you cast a spell that forces other creatures to make a saving throw, you can protect some of those creatures from the spell's full force. To do so, you spend 1 sorcery point and choose a number of those creatures up to your Charisma modifier (minimum of one creature). A chosen creature automatically succeeds on its saving throw against the spell.


Distant Spell. When you cast a spell that has a range of 5 feet or greater, you can spend 1 sorcery point to double the range of the spell.

When you cast a spell that has a range of touch, you can spend 1 sorcery point to make the range of the spell 30 feet.




Empowered Spell. When you roll damage for a spell, you can spend 1 sorcery point to reroll a number of the damage dice up to your Charisma modifier (minimum of one). You must use the new rolls.

You can use Empowered Spell even if you have already used a different Metamagic option during the casting of the spell.




Extended Spell. When you cast a spell that has a duration of 1 minute or longer, you can spend 1 sorcery point to double its duration, to a maximum duration of 24 hours.


Heightened Spell. When you cast a spell that forces a creature to make a saving throw to resist its effects, you can spend 3 sorcery points to give one target of the spell disadvantage on its first saving throw made against the spell.


Quickened Spell. When you cast a spell that has a casting time of 1 action, you can spend 2 sorcery points to change the casting time to 1 bonus action for this casting.


Seeking Spell. If you make an attack roll for a spell and miss, you can spend 2 sorcerer points to reroll the d20, and you must use the new roll.

You can use Seeking Spell even if you have already used a different Metamagic option during the casting of the spell.




Subtle Spell. When you cast a spell, you can spend 1 sorcery point to cast it without any somatic or verbal components.


Transmuted Spell. When you cast a spell that deals a type of damage from the following list, you can spend 1 sorcery point to change that damage type to one of the other listed types: acid, cold, fire, lightning, poison, thunder.


Twinned Spell. When you cast a spell that targets only one creature and doesn't have a range of self, you can spend a number of sorcery points equal to the spell's level to target a second creature in range with the same spell (1 sorcery point if the spell is a cantrip). To be eligible, a spell must be incapable of targeting more than one creature at the spell's current level. For example, magic missile and scorching ray aren't eligible, but ray of frost and chromatic orb are.

"
274,7,sorcerer,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
275,8,sorcerer,4,"Sorcerous Versatility (Optional)
When you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing the magic within you flowing in new ways:

Replace one of the options you chose for the Metamagic feature with a different Metamagic option available to you.


Replace one cantrip you learned from this class' spellcasting feature with another cantrip from the sorcerer spell list.

"
276,9,sorcerer,5,"Magical Guidance (Optional)
When you reach 5th level, you can tap into your inner wellspring of magic to try and conjure success from failure. When you make an ability check that fails, you can spend 1 sorcery point to reroll the d20, and you must use the new roll, potentially turning the failure into a success.
"
277,10,sorcerer,6,Sorcerous Origin Feature
278,11,sorcerer,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
279,12,sorcerer,8,"Sorcerous Versatility (Optional)
When you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing the magic within you flowing in new ways:

Replace one of the options you chose for the Metamagic feature with a different Metamagic option available to you.


Replace one cantrip you learned from this class' spellcasting feature with another cantrip from the sorcerer spell list.

"
280,13,sorcerer,10,"Metamagic Improvement
You gain another metamagic option at 10th and 17th level."
281,14,sorcerer,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
282,15,sorcerer,12,"Sorcerous Versatility (Optional)
When you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing the magic within you flowing in new ways:

Replace one of the options you chose for the Metamagic feature with a different Metamagic option available to you.


Replace one cantrip you learned from this class' spellcasting feature with another cantrip from the sorcerer spell list.

"
283,16,sorcerer,14,Sorcerous Origin Feature
284,17,sorcerer,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
285,18,sorcerer,16,"Sorcerous Versatility (Optional)
When you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing the magic within you flowing in new ways:

Replace one of the options you chose for the Metamagic feature with a different Metamagic option available to you.


Replace one cantrip you learned from this class' spellcasting feature with another cantrip from the sorcerer spell list.

"
286,19,sorcerer,17,"Metamagic Improvement
You gain another metamagic option at 10th and 17th level."
287,20,sorcerer,18,Sorcerous Origin Feature
288,21,sorcerer,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
289,22,sorcerer,19,"Sorcerous Versatility (Optional)
When you reach a level in this class that grants the Ability Score Improvement feature, you can do one of the following, representing the magic within you flowing in new ways:

Replace one of the options you chose for the Metamagic feature with a different Metamagic option available to you.


Replace one cantrip you learned from this class' spellcasting feature with another cantrip from the sorcerer spell list.

"
290,23,sorcerer,20,"Sorcerous Restoration
At 20th level, you regain 4 expended sorcery points whenever you finish a short rest.
"
291,0,warlock,0,"Hit Points
Hit Dice: 1d8 per warlock level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per warlock level after 1st
"
292,1,warlock,0,"Proficiencies
Armor: Light armor
Weapons: Simple weapons
Tools: None
Saving Throws: Wisdom, Charisma
Skills: Choose two from Arcana, Deception, History, Intimidation, Investigation, Nature, and Religion
"
